Latitude,Longitude,Datum
32.701492,-117.149653,WGS84
32.725226,-116.365203,WGS84
32.791194,-116.942092,WGS84
32.79222,-115.56306,WGS84
32.817978,-116.968133,WGS84
32.836461,-117.128752,WGS84
32.97833,-115.53917,WGS84
33.217046,-117.396249,WGS84
33.362593,-117.09023,WGS84
33.447867,-117.088649,WGS84
33.63003,-117.67593,WGS84
33.70853,-116.21537,WGS84
33.79236,-118.17533,WGS84
33.82376,-118.18921,WGS84
33.83062,-117.93845,WGS84
33.85275,-116.54101,WGS84
33.901389,-118.205,WGS84
33.92899,-118.21071,WGS84
33.94603,-117.40063,WGS84
33.99958,-117.41601,WGS84
34.030833,-117.61722,WGS84
34.037234,-117.690889,WGS84
34.06659,-118.22688,WGS84
34.10002,-117.49201,WGS84
34.1326,-118.1272,WGS84
34.1365,-117.92391,WGS84
34.17605,-118.31712,WGS84
34.19925,-118.53276,WGS84
34.427775,-119.691218,WGS84
34.44551,-119.8284,WGS84
34.63782,-120.4575,WGS84
35.02083,-120.56388,WGS84
35.050551,-118.147294,WGS84
35.385574,-119.015009,WGS84
35.49158,-120.66804,WGS84
35.49453,-120.66617,WGS84
35.62109,-117.67296,WGS84
36.332179,-119.291228,WGS84
36.487823,-117.871036,WGS84
36.634225,-120.382331,WGS84
36.72639,-119.733,WGS84
36.781333,-119.77319,WGS84
36.953256,-120.034203,WGS84
36.985119,-119.658339,WGS84
36.999571,-121.574684,WGS84
37.048008,-122.075695,WGS84
37.2136,-119.699065,WGS84
37.338135,-121.849783,WGS84
37.348497,-121.894898,WGS84
37.360684,-118.330783,WGS84
37.482934,-122.20337,WGS84
37.535833,-121.961823,WGS84
37.64571,-118.96652,WGS84
37.687526,-121.784217,WGS84
37.743065,-122.169935,WGS84
37.765946,-122.399044,WGS84
37.793624,-122.263376,WGS84
37.814781,-122.282347,WGS84
37.936013,-122.026154,WGS84
37.950741,-121.268523,WGS84
37.9604,-122.356811,WGS84
37.962069,-119.120278,WGS84
37.97231,-122.520004,WGS84
38.102507,-122.237976,WGS84
38.310942,-122.296189,WGS84
38.403765,-122.818294,WGS84
38.443503,-122.710169,WGS84
38.494475,-121.211131,WGS84
38.556326,-121.458499,WGS84
38.593322,-121.503795,WGS84
38.613779,-121.368014,WGS84
38.66121,-121.73269,WGS84
38.683304,-121.164457,WGS84
39.021221,-122.281803,WGS84
39.0327,-122.92229,WGS84
39.138773,-121.618549,WGS84
39.15047,-123.20655,WGS84
39.41174,-123.35264,WGS84
39.412942,-123.353621,WGS84
39.757371,-121.843286,WGS84
39.808333,-120.471667,WGS84
39.81336,-120.47069,WGS84
40.17093,-122.25556,WGS84
40.6304,-122.4031,WGS84
40.69184,-122.40179,WGS84
40.71528,-124.20139,WGS84
40.73475,-122.9412,WGS84
40.80178,-124.1621,WGS84
41.047117,-123.675233,WGS84
41.726892,-122.633579,WGS84
