Block group,% Hispanic,% White Alone,% Black or African American Alone,% American Indian and Alaska Native ,% Asian,% Native Hawaiian and other Pacific Islander,% Other Race and Two or More Races
60014001001,7.210732253,64.67300168,2.96254891,0,13.52711012,0.447177194,11.17942985
60014001002,6.084867894,54.683747,6.965572458,0,23.69895917,0.160128102,8.40672538
60014002001,10.2739726,70.64579256,1.174168297,0,7.338551859,0.195694716,10.37181996
60014002002,10.41879469,67.51787538,2.757916241,0,11.74668029,0,7.558733401
60014003001,7.479964381,71.4158504,2.49332146,0.17809439,10.06233304,0,8.370436331
60014003002,11.51832461,59.42408377,5.628272251,0.196335079,12.5,0.327225131,10.40575916
60014003003,12.08633094,43.5971223,27.76978417,0.143884892,6.18705036,0.647482014,9.568345324
60014003004,8.133971292,66.78058783,3.007518797,0.2734108,10.25290499,0.615174299,10.93643199
60014004001,7.124518614,71.63029525,3.016688062,0,10.71887035,0.128369705,7.381258023
60014004002,11.67775314,59.05395418,10.86474501,0.44345898,7.390983001,0.14781966,10.42128603
60014004003,8.742714405,63.36386345,7.410491257,0,9.908409659,0.333055787,10.24146545
60014005001,12.38850347,52.22993062,13.18136769,0.198216056,9.46481665,0.148662042,12.38850347
60014005002,10.60773481,51.27071823,22.98342541,0.44198895,6.850828729,0,7.845303867
60014005003,12.62135922,52.70457698,19.83356449,0,7.073509015,0.27739251,7.489597781
60014006001,9.851301115,45.26022305,25.74349442,0.092936803,6.133828996,0,12.91821561
60014006002,11.51685393,45.2247191,21.20786517,0.561797753,8.286516854,0.140449438,13.06179775
60014007001,14.83253589,34.84848485,28.78787879,0.159489633,9.728867624,0.159489633,11.48325359
60014007002,14.81481481,41.76516942,26.31993696,0.315208826,8.983451537,0.157604413,7.643814027
60014007003,13.95061728,47.90123457,22.4691358,0.37037037,8.518518519,0,6.790123457
60014007004,12.42553191,41.44680851,27.31914894,0.085106383,8.595744681,0.425531915,9.70212766
60014008001,10.33310673,37.59347383,22.90958532,0.135961931,19.91842284,0.203942896,8.905506458
60014008002,14.73136915,35.35528596,31.02253033,0.173310225,9.272097054,0.953206239,8.49220104
60014008003,13.77708978,44.11764706,21.28482972,0.309597523,13.46749226,0.232198142,6.811145511
60014009001,14.96240602,39.02255639,24.28571429,0.07518797,10.07518797,0,11.57894737
60014009002,14.78040541,42.56756757,25,0.253378378,9.206081081,0.253378378,7.939189189
60014010001,15.19756839,37.58865248,31.61094225,0.709219858,6.889564336,0.709219858,7.294832827
60014010002,13.91200951,43.75743163,23.78121284,0.118906064,9.512485137,0,8.917954816
60014010003,16.60899654,41.86851211,26.29757785,0.259515571,7.179930796,0.432525952,7.352941176
60014010004,12.02614379,35.81699346,28.49673203,0.130718954,13.33333333,1.045751634,9.150326797
60014010005,22.38267148,26.35379061,32.58122744,0.090252708,8.032490975,0.992779783,9.566787004
60014010006,14.35483871,32.17741935,35,0,11.61290323,0.080645161,6.774193548
60014011001,13.8721351,55.24728589,9.650180941,0.120627262,10.97708082,0,10.13268999
60014011002,9.370199693,58.75576037,11.75115207,0.768049155,10.98310292,0,8.371735791
60014011003,17.70428016,38.61867704,21.40077821,1.26459144,12.6459144,0.680933852,7.684824903
60014011004,15.60597676,35.25179856,25.89928058,0.608743774,14.94189264,0.71942446,6.972883232
