Date,CMAQ All-Source,CMAQ No-Fire,IMPROVE
1/1/08,6.274025005,6.053607122,4.5
1/4/08,0.778875705,0.778876433,5.6
1/7/08,1.243827359,1.243828694,3.4
1/10/08,14.48899568,14.47644339,4.4
1/13/08,10.06098768,10.05682783,4.7
1/16/08,2.97514756,2.7250503,1.8
1/19/08,14.19115661,14.01489343,17.9
1/22/08,1.702950259,1.700803126,1.4
1/25/08,1.131136933,1.130918774,1.3
1/28/08,1.056799639,1.056612731,3.2
1/31/08,2.025844735,2.025844761,5.7
2/3/08,1.786516529,1.786511437,5.8
2/6/08,2.157266637,2.157271758,5.3
2/9/08,9.354770074,9.290034006,6.5
2/12/08,3.726334885,3.72633478,2.8
2/15/08,5.088862394,5.077175915,8.5
2/18/08,4.358164738,4.323181922,3.5
2/21/08,2.715229159,2.715228796,3.1
2/24/08,1.197177645,1.197160933,11.2
2/27/08,8.551369568,8.551383287,4.3
3/1/08,2.774419924,2.774352639,4.2
3/4/08,6.488411446,6.447628309,7.4
3/7/08,8.770414611,8.729420582,5.4
3/10/08,2.42088072,2.420894126,6.4
3/13/08,2.258566797,2.2585671,1.9
3/16/08,1.436017881,1.41891473,7
3/19/08,2.114819174,2.114819678,3.9
3/22/08,3.041519344,3.041236927,7.5
3/25/08,2.730718424,2.730806043,2.1
3/28/08,2.953775585,2.953773156,2.6
3/31/08,3.112976577,3.110305978,3.4
4/3/08,6.21446677,6.199215919,6.5
4/6/08,1.716583547,1.716590355,3.1
4/9/08,3.456173678,3.456174751,4.9
4/12/08,9.315133363,9.042897026,8.1
4/15/08,3.340865716,3.341599504,5
4/18/08,4.544635246,4.379293313,11.6
4/21/08,3.045551648,3.045527945,3.4
4/24/08,2.50468261,2.504668107,4
4/27/08,3.296526472,3.243406365,8.1
4/30/08,3.205709281,3.206344915,5.1
5/3/08,5.631995698,5.634254674,10.6
5/6/08,6.424084902,6.057251592,10.7
5/9/08,4.466203103,4.253024737,11.5
5/12/08,5.613053819,5.431452016,12.7
5/15/08,3.383462494,2.755590599,3.9
5/18/08,2.961152708,2.937732672,3
5/30/08,2.675148512,2.63670743,3.9
6/2/08,3.057001243,3.055787941,6.1
6/5/08,2.8594971,2.859499246,6.5
6/8/08,2.912901878,2.912583639,13.9
6/11/08,2.893428703,2.802485198,14.5
6/14/08,2.362235238,2.297792445,4.9
6/17/08,5.51095287,5.245090087,10.1
6/20/08,4.24054417,4.216767192,6.3
6/23/08,18.41902173,3.440492431,11.6
6/26/08,41.69715524,3.680550824,14.6
6/29/08,3.827908725,2.124541735,4.1
7/2/08,5.362009118,2.031144286,1.2
7/5/08,2.942352121,1.551958077,2.4
7/8/08,57.07436279,5.887182653,20.2
7/11/08,13.53012703,4.415282865,7.7
7/14/08,3.113778194,1.154793431,5.7
7/17/08,2.905778165,2.43733418,6.4
7/20/08,5.364347984,3.230575303,4.2
7/23/08,13.56874418,2.860831459,12.4
7/26/08,3.589723984,2.217214723,5.2
7/29/08,2.254405886,2.11858885,4.3
8/1/08,2.314499212,2.044903081,3.9
8/4/08,4.801097572,3.007317513,3.5
8/7/08,2.026186322,1.288621629,3.3
8/10/08,3.315945745,2.630332301,6.1
8/16/08,2.16603629,1.60052679,1.4
8/19/08,1.85221646,1.850945515,1.1
8/22/08,4.37132826,2.300443838,7.9
8/25/08,1.980916957,1.973919605,5.1
8/28/08,4.169196208,3.323634411,12.6
8/31/08,2.450309458,2.174142547,13.8
9/3/08,8.052938888,3.919382408,15.1
9/6/08,11.83344646,4.42188854,14.3
9/9/08,14.96114725,3.356109569,2.6
9/18/08,1.844368229,1.844154383,4.2
9/21/08,2.424334566,2.15180395,5.7
9/24/08,8.036053161,4.089840045,3.3
9/27/08,4.510674939,3.174171781,1.8
9/30/08,2.469705457,2.409365887,3.8
10/3/08,2.654530704,2.65453889,3
10/6/08,4.360563586,4.360569532,0.9
10/9/08,5.121697416,2.554230387,9
10/12/08,3.362238934,2.97112301,3.8
10/15/08,6.969891737,4.425349156,8.5
10/18/08,10.5386669,7.31922243,5.6
10/21/08,4.113593588,3.870279814,2.9
10/24/08,7.696539839,5.314477285,8.2
10/27/08,5.345130404,3.402136127,8.7
10/30/08,7.402296136,7.206421226,6
11/2/08,1.358852449,1.359037116,4.2
11/5/08,2.532170718,2.320058271,2.4
11/8/08,2.931259731,2.900555869,2.2
11/11/08,2.931953991,2.930189654,5.5
11/14/08,2.965439434,2.892087405,6.4
11/17/08,9.416255752,7.998129904,10.9
11/20/08,3.859779124,3.563044334,4.7
11/23/08,9.47513024,6.425818423,10.5
11/26/08,28.02094746,25.13834127,6.5
11/29/08,9.729563137,7.409715176,9.3
12/2/08,6.435367535,6.181355457,4.6
12/5/08,13.49805194,10.20541034,12
12/8/08,9.788919648,8.252497772,4.7
12/11/08,11.96687704,9.112846732,7.6
12/14/08,1.217077779,1.217667085,2.7
12/17/08,6.505391866,6.16067297,2.5
12/20/08,7.454068532,7.391107649,1.8
12/23/08,2.048008736,2.048027936,2.6
12/26/08,2.272187038,2.27195969,3.7
12/29/08,10.52252087,10.52238846,2.8
1/1/08,2.793176651,2.785758433,1.6
1/7/08,0.742063179,0.742072608,0.7
1/10/08,0.556890742,0.556876767,0.7
1/13/08,2.98934933,2.988461152,1.4
1/16/08,1.039163036,1.103736788,1.8
1/19/08,3.74021475,3.528495813,2.8
1/22/08,1.473076249,1.460705797,1.1
1/25/08,2.44943515,1.250830216,0.6
1/28/08,0.663235006,0.663249194,0.7
1/31/08,0.688305687,0.68830533,0.9
2/3/08,1.231753695,1.231746608,2
2/6/08,2.28534534,2.285345057,5.2
2/9/08,3.771217555,3.771217143,4.4
2/12/08,3.837036689,3.837035701,4.7
2/15/08,3.096812,3.096835732,6.3
2/18/08,5.229241808,4.865931501,4.5
2/21/08,5.600898944,1.660452892,1.6
2/24/08,0.434057795,0.434046125,0.3
2/27/08,5.934265792,5.934108049,2.6
3/1/08,1.617145884,1.613420678,3.2
3/4/08,2.838927075,2.83893157,4
3/7/08,3.167806685,3.162452012,3.4
3/10/08,4.086524665,4.086360415,2.7
3/13/08,1.111284716,1.111284598,1.5
3/16/08,1.262578927,1.262667437,3.3
3/19/08,1.399292725,1.399292756,2.6
3/22/08,3.427442769,3.427157839,3.9
3/25/08,3.572401295,3.572390079,3.5
3/28/08,2.108381005,2.108501127,2.2
3/31/08,1.578915697,1.578779804,2.1
4/3/08,6.530577183,5.45662873,5.3
4/6/08,2.095829294,2.095786572,1.7
4/9/08,4.137507766,4.13767453,2
4/12/08,5.510110716,5.130072623,5.1
4/15/08,5.082519829,5.082561046,2.5
4/18/08,4.866169453,4.28545174,7.2
4/21/08,2.159120858,2.159129287,3.1
4/24/08,2.211424927,2.211322779,2.9
4/27/08,5.050863395,5.045919885,3.1
4/30/08,2.97292912,2.972940932,1.8
5/3/08,8.036689123,8.036617885,7.7
5/6/08,9.380347947,7.301656802,4.3
5/9/08,7.656130979,5.917089035,4.7
5/12/08,6.442053994,6.238001605,4.8
5/15/08,1.283106352,1.258108926,4.7
5/18/08,4.487504721,4.421985477,5.1
5/21/08,3.036246399,3.036311001,3
5/24/08,2.731951376,2.732245276,3.3
5/27/08,2.983100509,2.980918253,2.9
5/30/08,3.899600367,3.899681022,4.4
6/2/08,3.340957522,2.540635521,2
6/5/08,2.617542475,2.617539118,1.9
6/8/08,2.871335338,2.87095885,4.1
6/11/08,2.800735573,2.80073444,6.9
6/14/08,6.748517483,4.77320389,5.3
6/17/08,6.357469221,5.63928626,2.7
6/26/08,3.870059232,3.876543333,6.2
6/29/08,15.97077479,2.586114913,5.6
7/2/08,9.467340574,5.886111582,1.5
7/5/08,4.482219482,2.440289825,1.3
7/8/08,5.216223399,4.101379553,15.1
7/11/08,3.268896729,2.879214888,14.6
7/14/08,58.47058646,4.593381961,0.9
7/17/08,2.367868458,2.512595192,2.9
7/20/08,3.802030991,4.266860753,2.6
7/23/08,2.696673801,2.613017077,6
7/26/08,4.267548601,3.420178776,4.5
7/29/08,43.58072948,1.709087342,3.4
8/1/08,3.17252893,2.857392005,3.3
8/4/08,5.840753486,3.658722719,3.7
8/7/08,1.417767413,1.471531965,1.5
8/10/08,3.959522645,3.926334262,9.5
8/13/08,4.723815049,3.360035181,20.2
8/16/08,1.878059382,1.859181841,3.8
8/19/08,2.573827823,2.334743132,1.7
8/22/08,3.021218757,2.979477316,2.3
8/25/08,4.535112754,4.533992236,2.3
8/28/08,7.936845581,2.011401211,7.8
8/31/08,1.915622825,1.919714974,3.4
9/3/08,6.919345339,3.301740338,19.3
9/6/08,15.20195146,3.057422251,12.8
9/9/08,5.647620459,5.127928863,5
9/12/08,14.08013113,2.289833029,1.6
9/15/08,37.76007557,4.758088534,0.4
9/18/08,3.099332074,2.887512287,8
9/21/08,4.497638067,3.838140388,4.8
9/24/08,22.61070031,3.152493924,9.3
9/27/08,17.64009487,4.321643114,7.1
10/18/08,5.191173514,3.702867726,2.5
10/21/08,11.10254349,4.160444091,3.3
10/24/08,15.34056485,4.699284265,7.1
10/27/08,6.066884945,3.14156118,2.3
10/30/08,5.724946856,3.167702178,3.8
11/2/08,1.285445904,1.285183569,2.2
11/5/08,1.733451557,0.962547237,0.6
11/8/08,1.972971085,1.724756924,1.5
11/11/08,8.382120604,2.656070359,0.9
11/14/08,6.737919947,3.572655439,2
11/17/08,2.455163409,2.03119957,3.8
11/20/08,10.66265635,2.722872051,3.4
11/23/08,5.258672893,2.793955108,2
11/26/08,25.26162459,4.976662079,6.3
11/29/08,4.919609462,3.325550755,2.7
12/2/08,8.369347558,3.427478723,3
12/5/08,5.377301628,2.056560054,2.5
12/8/08,4.543619394,3.32761538,2.3
12/11/08,23.40569574,4.181863616,8.7
12/14/08,0.341338757,0.341543294,0.2
12/17/08,2.803931142,1.673735534,1.8
12/20/08,1.496331488,1.496330851,1
12/23/08,0.520133601,0.519980484,0.3
12/26/08,1.104090557,1.103796204,0.7
12/29/08,0.831913983,0.835848792,1.7
1/1/08,3.250608724,3.210366716,3
1/4/08,1.518982155,1.517535293,1.8
1/7/08,1.229891156,1.229873811,1.7
1/10/08,2.272773037,2.272775645,1.6
1/13/08,3.273450777,3.210306823,2.6
1/16/08,2.228407289,2.210083348,2.2
1/19/08,5.458186845,4.338583807,3.5
1/22/08,0.728485463,0.72848361,0.4
1/25/08,0.753069287,0.752607845,1.2
1/28/08,0.606415411,0.606381206,1.5
1/31/08,7.709395834,7.709362476,2.9
2/3/08,0.794518754,0.79458519,2.5
2/6/08,5.187869474,5.187656711,3.3
2/9/08,5.166974003,4.888102889,4.9
2/12/08,2.604957422,2.577376982,3.2
2/15/08,3.164085339,3.073155453,2.4
2/18/08,23.15580316,22.86895072,8.3
2/21/08,2.326360598,2.326421067,1.8
2/24/08,0.461615694,0.461567577,2.6
2/27/08,2.553390304,2.553638592,3.1
3/4/08,5.73985829,5.740368257,3.7
3/7/08,11.12414336,11.09293016,5.5
3/10/08,3.609198858,3.591515481,2.8
3/13/08,3.27175202,3.27175503,2.1
3/16/08,2.174676513,2.069003371,1.5
3/19/08,3.566090941,3.565961336,3.5
3/22/08,4.415411224,4.128601263,4.7
3/25/08,4.098723749,4.0417793,1.4
3/28/08,6.352743189,6.357525557,3.2
3/31/08,3.639048607,3.638942159,5.9
4/9/08,3.278756976,3.278732955,3
4/12/08,6.454786609,6.081442614,7.3
4/15/08,4.281921734,4.281847507,3.3
4/18/08,7.316123029,6.10852168,7.5
4/21/08,4.578609318,4.578612347,4.3
4/24/08,4.411673278,4.410912106,3.7
4/27/08,3.127271861,2.971881509,4.9
4/30/08,5.599291822,5.599196621,3.4
5/3/08,6.768255075,6.492150108,13.6
5/6/08,5.396273255,5.154309104,5.8
5/9/08,6.475721975,6.37226971,9.6
5/12/08,6.442371925,6.118103514,7.5
5/15/08,3.568232417,3.441247712,7
5/18/08,3.957649042,3.913059751,4.5
5/21/08,3.379637261,3.371974578,6.7
5/24/08,3.097669105,2.307770749,6.1
5/27/08,2.044165373,1.727245395,2.5
5/30/08,2.344211449,2.310359364,3.9
6/2/08,4.186992407,4.184190164,5.4
6/5/08,3.73367842,3.733684669,4.7
6/8/08,3.767178307,3.769122263,4.1
6/11/08,2.861581708,2.228016675,3.9
6/14/08,14.72285692,7.201895575,7.3
6/17/08,6.217899044,5.901548743,6.7
6/20/08,4.9882435,4.886550417,3.9
6/23/08,12.64508275,3.218535612,7.5
6/26/08,44.84718474,3.451869696,24.8
6/29/08,18.27348963,4.109564394,12.8
7/2/08,6.443864485,3.548188428,4.8
7/5/08,3.089635367,2.458949864,6.1
7/8/08,71.78845088,3.809089899,41.2
7/11/08,17.59206671,4.412074784,13.5
7/14/08,15.23057572,3.584594727,12.3
7/17/08,7.408133904,3.501616647,6.1
7/20/08,11.03051758,2.330587119,8.1
7/23/08,22.96836104,3.580310623,10.2
7/26/08,8.713550051,2.757198403,10.3
7/29/08,2.830040803,2.172399327,3.6
8/1/08,2.743369362,2.644773805,3.9
8/4/08,4.973670195,2.494298011,5.4
8/7/08,17.95618824,3.018571148,4.6
8/13/08,10.33651112,3.041913589,10.7
8/16/08,5.475768725,2.037339459,5.5
8/19/08,1.842100009,1.809587071,1.5
8/22/08,2.239855881,2.239884193,3.4
8/25/08,5.234744926,2.789839213,2.9
8/28/08,5.129054924,4.083348612,4.9
8/31/08,2.750950699,2.645091098,7.8
9/3/08,6.284108271,3.051939875,6.3
9/6/08,7.986073713,5.268563886,5.2
9/9/08,5.777893911,2.481996646,4.7
9/12/08,14.05672206,5.898961594,8.4
9/15/08,15.6985604,5.593786657,7.4
9/18/08,2.299984083,2.241770362,5.7
9/21/08,2.076529145,2.075143004,2.5
9/24/08,17.38830717,4.015217135,6.8
9/27/08,3.67517817,2.76176927,4.8
9/30/08,4.097949505,2.996047082,11
10/3/08,2.689920728,2.690708126,2.7
10/6/08,2.241459827,2.218973065,4
10/9/08,5.170375248,3.966578305,7.3
10/12/08,3.782457228,3.37371326,4.6
10/15/08,5.324481209,3.4666936,5.2
10/18/08,9.409458091,4.313716094,7.1
10/21/08,4.78964362,4.051502213,3.6
10/24/08,5.634229302,3.973225877,6.1
10/27/08,7.794356128,3.745261341,8.9
10/30/08,5.08645757,4.092393463,5.8
11/2/08,1.161510361,1.140452307,2.3
11/5/08,4.254045794,3.461959481,2.9
11/8/08,4.832057096,3.407924203,3.4
11/11/08,6.577505459,6.486233771,2.6
11/14/08,3.805510476,1.743892998,3.3
11/17/08,2.92558896,2.635814637,2.2
11/20/08,5.992869486,5.599351257,3.1
11/23/08,6.195828716,4.922832767,5.4
11/26/08,1.445870878,1.403379967,10.1
11/29/08,7.91298755,6.887793342,7.8
12/2/08,5.842329105,5.656498859,7.5
12/5/08,5.980922699,3.594277139,2.8
12/8/08,6.682280988,5.878812661,7.6
12/11/08,5.128458614,3.902272294,3.3
12/14/08,0.605729841,0.607070504,2
12/17/08,3.121588783,2.07502382,3
12/20/08,6.321115931,6.287399317,2.7
12/23/08,0.923561816,0.923525502,1
12/26/08,1.588586365,1.588314193,3.2
12/29/08,1.56159989,1.558456674,1.4
1/4/08,0.242836828,0.242754133,0.4
1/7/08,2.123721576,2.122351257,0.8
1/16/08,1.020057189,0.901834858,0.9
1/19/08,2.218568618,2.200642655,1.2
1/22/08,1.292197255,1.278101946,1
1/25/08,0.957678407,0.954271297,0.1
1/28/08,0.646909455,0.646880215,0.5
2/27/08,2.043432444,2.043432429,0.9
3/1/08,1.779953234,1.704819454,1.3
3/4/08,3.450265666,3.450261171,1.5
3/7/08,1.986913428,1.986697758,2.4
3/10/08,3.194645147,3.191795011,2.6
3/13/08,1.2740814,1.274112761,1.1
3/16/08,1.320025203,1.130146972,1
3/19/08,2.993295355,2.993288549,2
