Year,area,WUI Class,Burned area (acres),Burned area (km2)
2008,128091273.6,WUI,31651.91642,128.0908745
2009,33361019.11,WUI,8243.654379,33.36091516
2010,15014355.47,WUI,3710.113196,15.01430869
2011,10062500.79,WUI,2486.488149,10.06246943
2012,21258200.76,WUI,5252.994796,21.25813452
2013,56282292.9,WUI,13907.60183,56.28211754
2014,42780450.68,WUI,10571.2373,42.78031738
2015,134533408.5,WUI,33243.79625,134.5329893
2016,57320553.97,WUI,14164.1607,57.32037537
2017,468235583.4,WUI,115703.0696,468.2341242
2018,354409101,WUI,87576.04578,354.4079966
2008,19780816.08,Low/Very Low Housing Density,4887.926553,19.78075445
2008,440133.0081,Medium/High Housing Density,108.7587998,0.440131637
2008,3705956636,No Housing,915758.1651,3705.945088
2008,1606715514,Very Low Housing Density,397026.4619,1606.710508
2009,89481796.13,Low/Very Low Housing Density,22111.34492,89.4815173
2009,197679.2313,Medium/High Housing Density,48.84740646,0.197678615
2009,1311723785,No Housing,324132.7097,1311.719698
2009,276276785.6,Very Low Housing Density,68269.20741,276.2759247
2010,6889212.573,Low/Very Low Housing Density,1702.354692,6.889191109
2010,754285.4158,Medium/High Housing Density,186.3872399,0.754283066
2010,244909824.9,No Housing,60518.29362,244.9090617
2010,134528675.2,Very Low Housing Density,33242.62663,134.528256
2011,29073870.73,Low/Very Low Housing Density,7184.28118,29.07378014
2011,230957.0225,Medium/High Housing Density,57.07049487,0.230956303
2011,541797078.9,No Housing,133880.4383,541.7953905
2011,231107656.7,Very Low Housing Density,57107.71723,231.1069365
2012,2255361.828,Low/Very Low Housing Density,557.3098155,2.2553548
2012,16974.6489,Medium/High Housing Density,4.194510312,0.016974596
2012,2290727773,No Housing,566048.896,2290.720635
2012,682285991.3,Very Low Housing Density,168595.8658,682.2838655
2013,13822889.48,Low/Very Low Housing Density,3415.696715,13.82284641
2013,50309.19228,Medium/High Housing Density,12.43162242,0.050309036
2013,1500605386,No Housing,370806.1831,1500.60071
2013,658444078.9,Very Low Housing Density,162704.4245,658.4420273
2014,4822063.849,Low/Very Low Housing Density,1191.553161,4.822048825
2014,1828144.388,Medium/High Housing Density,451.7425093,1.828138691
2014,1642575073,No Housing,405887.5165,1642.569955
2014,404580718.7,Very Low Housing Density,99973.67293,404.579458
2015,3180362.365,Low/Very Low Housing Density,785.881512,3.180352456
2015,46763.095,Medium/High Housing Density,11.55536621,0.046762949
2015,1852758045,No Housing,457824.6523,1852.752272
2015,1191445063,Very Low Housing Density,294411.3091,1191.44135
2016,35596659.53,Low/Very Low Housing Density,8796.090947,35.59654861
2016,33525.57524,Medium/High Housing Density,8.284316922,0.033525471
2016,1074607601,No Housing,265540.259,1074.604253
2016,945337297,Very Low Housing Density,233596.999,945.3343514
2017,32628266,Low/Very Low Housing Density,8062.587867,32.62816434
2017,2869762.787,Medium/High Housing Density,709.1309917,2.869753845
2017,3008039783,No Housing,743299.8449,3008.03041
2017,1853154965,Very Low Housing Density,457922.7328,1853.14919
2018,27320199.56,Low/Very Low Housing Density,6750.94133,27.32011443
2018,218986.9511,Medium/High Housing Density,54.11263763,0.218986269
2018,4376153109,No Housing,1081366.658,4376.139474
2018,1590783270,Very Low Housing Density,393089.5344,1590.778313
