,Region,Year,Smoke PM2.5,Year
1,Central Coast,2008,1.925071277,2008
2,Central Coast,2009,0.506172324,2009
3,Central Coast,2010,0.158915223,2010
4,Central Coast,2011,0.299975548,2011
5,Central Coast,2012,0.253763104,2012
6,Central Coast,2013,0.596672315,2013
7,Central Coast,2014,0.305883675,2014
8,Central Coast,2015,0.566906463,2015
9,Central Coast,2016,2.224500691,2016
10,Central Coast,2017,2.447397457,2017
11,Central Coast,2018,1.93611795,2018
12,Inland Desert,2008,0.770592946,2008
13,Inland Desert,2009,0.375685357,2009
14,Inland Desert,2010,0.185163231,2010
15,Inland Desert,2011,0.23369777,2011
16,Inland Desert,2012,0.239077038,2012
17,Inland Desert,2013,0.728149082,2013
18,Inland Desert,2014,0.161590218,2014
19,Inland Desert,2015,0.657554096,2015
20,Inland Desert,2016,0.691863963,2016
21,Inland Desert,2017,0.810240998,2017
22,Inland Desert,2018,1.230746466,2018
23,Los Angeles,2008,1.174085495,2008
24,Los Angeles,2009,0.57082926,2009
25,Los Angeles,2010,0.327356739,2010
26,Los Angeles,2011,0.263119302,2011
27,Los Angeles,2012,0.299695805,2012
28,Los Angeles,2013,0.546103993,2013
29,Los Angeles,2014,0.278215105,2014
30,Los Angeles,2015,0.457162679,2015
31,Los Angeles,2016,1.034694688,2016
32,Los Angeles,2017,1.602945845,2017
33,Los Angeles,2018,2.252269418,2018
34,North Coast,2008,7.593422041,2008
35,North Coast,2009,0.607998594,2009
36,North Coast,2010,0.257057987,2010
37,North Coast,2011,0.509263456,2011
38,North Coast,2012,0.926387586,2012
39,North Coast,2013,1.420101588,2013
40,North Coast,2014,2.334706527,2014
41,North Coast,2015,3.249114166,2015
42,North Coast,2016,0.633571042,2016
43,North Coast,2017,5.222599267,2017
44,North Coast,2018,5.746774405,2018
45,Sacramento Valley,2008,8.575527575,2008
46,Sacramento Valley,2009,0.9939707,2009
47,Sacramento Valley,2010,0.366872548,2010
48,Sacramento Valley,2011,0.763734796,2011
49,Sacramento Valley,2012,1.159034103,2012
50,Sacramento Valley,2013,1.45963912,2013
51,Sacramento Valley,2014,1.171916823,2014
52,Sacramento Valley,2015,2.049026682,2015
53,Sacramento Valley,2016,0.864507101,2016
54,Sacramento Valley,2017,3.717500406,2017
55,Sacramento Valley,2018,9.084865933,2018
56,San Diego,2008,0.869913019,2008
57,San Diego,2009,0.266963383,2009
58,San Diego,2010,0.195654487,2010
59,San Diego,2011,0.183222762,2011
60,San Diego,2012,0.260382108,2012
61,San Diego,2013,0.439646079,2013
62,San Diego,2014,0.27790697,2014
63,San Diego,2015,0.356774093,2015
64,San Diego,2016,0.658353807,2016
65,San Diego,2017,1.055627366,2017
66,San Diego,2018,1.171830381,2018
67,San Francisco Bay Area,2008,3.54786919,2008
68,San Francisco Bay Area,2009,0.447759446,2009
69,San Francisco Bay Area,2010,0.218394869,2010
70,San Francisco Bay Area,2011,0.430862551,2011
71,San Francisco Bay Area,2012,0.40655933,2012
72,San Francisco Bay Area,2013,0.922504683,2013
73,San Francisco Bay Area,2014,0.512955389,2014
74,San Francisco Bay Area,2015,0.863201257,2015
75,San Francisco Bay Area,2016,0.48852961,2016
76,San Francisco Bay Area,2017,8.174624739,2017
77,San Francisco Bay Area,2018,3.246894711,2018
78,San Joaquin Valley,2008,3.407802455,2008
79,San Joaquin Valley,2009,0.602963177,2009
80,San Joaquin Valley,2010,0.367439754,2010
81,San Joaquin Valley,2011,0.494544813,2011
82,San Joaquin Valley,2012,0.399048936,2012
83,San Joaquin Valley,2013,0.895752364,2013
84,San Joaquin Valley,2014,0.687612089,2014
85,San Joaquin Valley,2015,1.166730872,2015
86,San Joaquin Valley,2016,1.588733562,2016
87,San Joaquin Valley,2017,3.193089344,2017
88,San Joaquin Valley,2018,3.087086214,2018
89,Sierra Nevada Mountains,2008,5.211563266,2008
90,Sierra Nevada Mountains,2009,0.979389818,2009
91,Sierra Nevada Mountains,2010,0.581798078,2010
92,Sierra Nevada Mountains,2011,0.766373546,2011
93,Sierra Nevada Mountains,2012,0.859741994,2012
94,Sierra Nevada Mountains,2013,2.504711658,2013
95,Sierra Nevada Mountains,2014,1.577066655,2014
96,Sierra Nevada Mountains,2015,1.8446831,2015
97,Sierra Nevada Mountains,2016,1.186680701,2016
98,Sierra Nevada Mountains,2017,3.099551933,2017
99,Sierra Nevada Mountains,2018,4.116399066,2018
